Yil,Marka,Model,Yakit,Sanziman,Km,Boya,Degisen,Kaput_Tavan,Fiyat,beygir,Tramer,Hafta
2013,FIAT,FIORINO,DIESEL,MANUAL,113265,1,2,0,34000,55.0,0,14
2013,FIAT,LINEA,DIESEL,MANUAL,122062,3,0,0,34100,70.0,0,24
2014,DACIA,LODGY,DIESEL,MANUAL,36529,0,1,0,42300,81.0,0,16
2015,MERCEDES_BENZ,SLK_SERISI,PETROL,AUTOMATIC,7985,0,0,0,195100,,0,12
2013,HYUNDAI,I20,DIESEL,MANUAL,115479,3,0,0,32200,66.0,831,14
2016,RENAULT,SYMBOL,DIESEL,MANUAL,43891,0,0,0,41800,66.0,1556,15
2013,RENAULT,FLUENCE,DIESEL,MANUAL,123815,4,0,0,37400,66.0,3954,12
2013,AUDI,A4,DIESEL,AUTOMATIC,28817,2,0,0,106800,110.0,3052,10
2013,RENAULT,FLUENCE,DIESEL,MANUAL,100743,1,0,0,41400,66.0,3273,11
2014,FORD,FIESTA,DIESEL,MANUAL,55031,1,0,0,43700,,0,26
2015,RENAULT,SYMBOL,DIESEL,MANUAL,39152,1,0,0,39900,66.0,978,21
2013,HYUNDAI,H_100,DIESEL,MANUAL,182080,1,0,0,31800,96.0,0,26
2015,BMW,5_Serisi,DIESEL,AUTOMATIC,91087,0,0,0,197100,160.0,0,10
2013,RENAULT,FLUENCE,DIESEL,MANUAL,147721,2,1,0,35700,66.0,7674,11
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,86398,0,0,0,51500,81.0,0,10
2013,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,115320,1,1,0,67800,77.0,1624,23
2014,FORD,TOURNEO,DIESEL,MANUAL,158558,1,0,0,41100,70.0,0,21
2015,CITROEN,C_ELYSEE,DIESEL,MANUAL,78363,0,0,1,40900,68.0,0,23
2014,LAND ROVER,RANGE_ROVER,DIESEL,AUTOMATIC,37525,0,0,0,650000,190.0,0,12
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,59067,0,2,0,50800,66.0,9457,15
2014,PEUGEOT,301,DIESEL,MANUAL,96103,2,2,1,36300,68.0,6659,17
2014,FORD,B_MAX,PETROL,AUTOMATIC,62785,2,1,0,43300,77.0,6334,12
2013,DACIA,LODGY,DIESEL,MANUAL,87295,0,0,0,36800,66.0,0,9
2011,FORD,TRANSIT,DIESEL,MANUAL,107894,0,0,0,34100,74.0,0,25
2013,OPEL,ASTRA,DIESEL,MANUAL,121480,0,0,0,46500,70.0,212,11
2012,VOLVO,S80,DIESEL,AUTOMATIC,119077,1,0,0,79700,84.0,0,12
2015,RENAULT,FLUENCE,DIESEL,MANUAL,65674,3,2,0,45800,66.0,13619,12
2016,BMW,3_Serisi,PETROL,AUTOMATIC,6153,0,1,0,140000,170.0,0,15
2013,RENAULT,CLIO,DIESEL,MANUAL,84420,1,0,0,36900,55.0,2190,9
2013,PEUGEOT,208,PETROL,MANUAL,64313,0,0,0,31500,50.0,0,18
2012,FORD,TRANSIT,DIESEL,MANUAL,62332,0,0,0,34800,92.0,0,25
2013,RENAULT,CLIO_IV,DIESEL,MANUAL,184474,3,4,0,30600,55.0,6881,23
2015,RENAULT,SYMBOL,DIESEL,MANUAL,47552,5,2,0,34000,66.0,3927,9
2016,RENAULT,FLUENCE,DIESEL,MANUAL,30839,1,0,0,55000,66.0,0,18
2013,FIAT,LINEA,DIESEL,MANUAL,169770,0,0,0,33600,70.0,0,17
2012,VOLKSWAGEN,POLO,DIESEL,AUTOMATIC,47964,1,0,0,51000,66.0,400,11
2013,RENAULT,CLIO,DIESEL,MANUAL,112100,1,0,1,36100,75.0,2086,15
2013,RENAULT,FLUENCE,DIESEL,MANUAL,156950,0,1,0,36800,66.0,7450,12
2013,RENAULT,CLIO_IV,DIESEL,MANUAL,182197,0,2,0,34500,55.0,2946,22
2012,TOYOTA,RAV4,PETROL,AUTOMATIC,51604,2,3,0,59500,116.0,0,14
2012,FIAT,FIORINO,DIESEL,MANUAL,129177,0,2,0,25600,55.0,3385,24
2014,RENAULT,CLIO_IV,DIESEL,AUTOMATIC,137294,0,0,0,51000,66.0,0,22
2015,FORD,FOCUS,DIESEL,MANUAL,114151,4,0,0,57000,70.0,5447,16
2013,PEUGEOT,301,DIESEL,MANUAL,99534,2,3,0,34600,68.0,1855,17
2013,ALFA ROMEO,GIULIETTA,PETROL,AUTOMATIC,7112,5,0,0,64000,125.0,3902,22
2014,RENAULT,SYMBOL,DIESEL,MANUAL,84948,1,0,0,34100,55.0,1470,12
2016,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,40879,0,0,0,109500,,0,19
2010,AUDI,A4,PETROL,AUTOMATIC,119000,0,0,0,70200,88.0,0,25
2013,RENAULT,SYMBOL,DIESEL,MANUAL,84170,7,1,0,30100,55.0,600,11
2013,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,41664,3,2,0,81000,77.0,0,9
2016,PEUGEOT,301,DIESEL,MANUAL,35404,0,0,0,43700,68.0,0,23
2014,RENAULT,CLIO_IV,DIESEL,MANUAL,175258,1,2,0,33800,55.0,13252,18
2014,RENAULT,LATITUDE,DIESEL,AUTOMATIC,48474,0,0,0,64500,81.0,0,11
2015,RENAULT,FLUENCE,DIESEL,AUTOMATIC,56415,3,1,0,51500,81.0,9148,16
2013,RENAULT,FLUENCE,DIESEL,AUTOMATIC,176668,0,0,0,46700,81.0,992,18
2007,CHEVROLET,CAPTIVA,DIESEL,AUTOMATIC,204223,3,1,0,40000,110.0,2265,14
2014,RENAULT,CLIO_IV,DIESEL,MANUAL,142775,0,0,1,36800,55.0,0,23
2014,PEUGEOT,301,DIESEL,MANUAL,106972,2,0,1,38100,68.0,0,22
2016,MERCEDES_BENZ,C_SERISI,PETROL,AUTOMATIC,12080,0,0,0,164000,115.0,1450,9
2004,NISSAN,ALMERA,PETROL,MANUAL,249363,2,1,0,19400,,1727,25
2013,BMW,3_Serisi,PETROL,AUTOMATIC,71118,2,0,0,109100,125.0,4992,12
2015,RENAULT,SYMBOL,DIESEL,MANUAL,57311,3,1,1,33700,55.0,4352,9
2013,VOLKSWAGEN,POLO,DIESEL,AUTOMATIC,112884,1,2,0,47300,,2793,19
2014,FORD,FIESTA,DIESEL,MANUAL,155120,3,0,0,38300,55.0,0,21
2016,RENAULT,SYMBOL,DIESEL,MANUAL,26140,3,0,0,41100,66.0,1132,23
2016,HYUNDAI,I20,PETROL,MANUAL,23228,0,0,0,41300,61.0,0,12
2014,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,111754,3,0,0,82700,77.0,1000,25
2015,BMW,X5,DIESEL,AUTOMATIC,74094,0,0,0,320200,160.0,0,13
2014,FIAT,500L,DIESEL,MANUAL,54332,4,0,0,44100,62.0,0,12
2013,FORD,FOCUS,DIESEL,MANUAL,149242,1,3,1,45400,70.0,6337,14
2009,BMW,3_Serisi,DIESEL,AUTOMATIC,55305,3,0,0,77500,105.0,236,12
2011,FIAT,FIORINO,DIESEL,MANUAL,124581,2,1,0,17500,55.0,2673,12
2012,FORD,FOCUS,DIESEL,MANUAL,117657,5,1,1,43000,70.0,3774,25
2015,RENAULT,LATITUDE,DIESEL,AUTOMATIC,25545,0,0,0,84500,81.0,0,25
2013,RENAULT,SYMBOL,DIESEL,MANUAL,197550,4,3,0,25900,55.0,7662,11
2009,FIAT,PALIO_VAN,DIESEL,MANUAL,129969,5,2,0,10300,51.0,0,14
2016,NISSAN,MICRA,PETROL,AUTOMATIC,1294,0,0,0,47300,59.0,0,15
2013,FIAT,LINEA,DIESEL,MANUAL,175484,0,0,0,30700,70.0,0,12
2012,RENAULT,CLIO,PETROL,MANUAL,109454,1,0,0,29900,54.0,2838,10
2016,NISSAN,MICRA,PETROL,AUTOMATIC,6250,2,2,0,49000,59.0,0,21
2016,MERCEDES_BENZ,A_SERISI,DIESEL,AUTOMATIC,13305,1,3,0,116000,80.0,7844,18
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,123369,0,2,0,65100,77.0,4169,12
2016,FORD,FOCUS,DIESEL,AUTOMATIC,29416,1,2,0,67800,88.0,0,17
2015,FIAT,DOBLO,DIESEL,MANUAL,59467,1,0,0,44100,66.0,0,22
2015,CITROEN,C_ELYSEE,DIESEL,MANUAL,28077,0,0,0,41200,68.0,1315,23
2013,RENAULT,CLIO_III,DIESEL,MANUAL,75284,3,0,0,34700,55.0,0,9
2014,VOLKSWAGEN,POLO,DIESEL,AUTOMATIC,88180,7,0,0,52700,66.0,2963,22
2016,VOLKSWAGEN,POLO,DIESEL,MANUAL,15395,0,1,0,48400,55.0,4946,16
2015,RENAULT,CLIO,DIESEL,MANUAL,60720,0,0,0,47200,55.0,838,12
2013,VOLKSWAGEN,JETTA,PETROL,AUTOMATIC,71655,4,0,0,63500,90.0,0,22
2013,RENAULT,CLIO_III,DIESEL,MANUAL,151567,0,0,1,34900,55.0,0,17
2014,FIAT,LINEA,DIESEL,MANUAL,83057,1,0,0,35000,70.0,229,22
2012,RENAULT,CLIO_IV,DIESEL,MANUAL,182589,1,2,0,31700,55.0,3889,22
2013,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,84398,0,0,0,90900,77.0,0,9
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,126584,0,0,0,49600,,5478,25
2015,FORD,CARGO,DIESEL,MANUAL,141278,0,0,0,110600,280.0,0,14
2012,FIAT,BRAVA,DIESEL,AUTOMATIC,160388,0,0,0,40300,,0,23
2013,RENAULT,CLIO_III,DIESEL,MANUAL,71065,4,3,0,33500,55.0,2000,11
2016,RENAULT,CLIO_IV,DIESEL,MANUAL,29863,0,0,0,49800,55.0,0,12
2014,RENAULT,CLIO_IV,DIESEL,MANUAL,78163,0,2,0,37500,55.0,5463,18
2016,TOYOTA,COROLLA,DIESEL,AUTOMATIC,19853,0,0,0,71500,66.0,0,23
2016,FORD,FOCUS,DIESEL,MANUAL,31308,0,0,0,68500,70.0,0,12
2016,AUDI,A3,PETROL,AUTOMATIC,17218,0,1,0,88000,81.0,3524,20
2016,BMW,5_Serisi,DIESEL,AUTOMATIC,38806,0,0,0,257800,160.0,0,10
2015,TOYOTA,COROLLA,DIESEL,AUTOMATIC,52494,6,0,0,63800,66.0,3745,21
2015,RENAULT,SYMBOL,DIESEL,MANUAL,46975,0,1,0,38300,66.0,3921,25
2013,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,140014,1,1,0,63200,77.0,4686,15
2012,BMW,X3,DIESEL,AUTOMATIC,158027,0,3,0,123100,135.0,17693,24
2015,AUDI,A4,DIESEL,AUTOMATIC,52144,0,0,0,143100,130.0,0,18
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,65283,2,0,0,53000,66.0,2555,17
2012,FORD,TRANSIT,DIESEL,MANUAL,194277,1,0,0,36400,114.0,0,15
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,125323,0,0,0,50700,,0,15
2013,PEUGEOT,BOXER,DIESEL,MANUAL,117278,0,0,0,35800,96.0,0,11
2013,FORD,FOCUS,DIESEL,MANUAL,157178,2,1,1,48300,70.0,295,14
2013,DACIA,LODGY,DIESEL,MANUAL,70090,0,0,0,38100,66.0,0,9
2014,FIAT,LINEA,DIESEL,MANUAL,65283,4,0,0,36200,70.0,2892,19
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,54648,2,0,0,76400,77.0,3573,18
2015,BMW,3_Serisi,PETROL,AUTOMATIC,52212,0,0,0,133100,125.0,0,24
2015,FORD,TOURNEO,DIESEL,MANUAL,42120,0,0,0,53500,70.0,2489,19
2016,NISSAN,QASHQAI,DIESEL,MANUAL,11619,0,0,0,94900,81.0,0,23
2011,RENAULT,FLUENCE,DIESEL,MANUAL,212152,7,1,0,28000,63.0,5058,10
2016,NISSAN,MICRA,PETROL,AUTOMATIC,10255,0,0,0,51100,59.0,0,22
2014,OPEL,CORSA,PETROL,AUTOMATIC,61077,5,2,0,39000,63.0,5720,18
2001,RENAULT,CLIO,PETROL,AUTOMATIC,161374,5,1,0,22300,98.0,0,19
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,114532,2,0,0,71500,77.0,4188,15
2016,BMW,3_Serisi,PETROL,AUTOMATIC,10922,0,0,0,145600,170.0,0,15
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,20649,0,0,0,72700,100.0,0,21
2013,RENAULT,FLUENCE,DIESEL,MANUAL,133305,0,0,1,39400,66.0,250,11
2014,PEUGEOT,301,DIESEL,MANUAL,122608,0,1,0,37500,68.0,2048,25
2013,PEUGEOT,508,DIESEL,AUTOMATIC,96865,3,0,0,54000,84.0,0,19
2016,MERCEDES_BENZ,E_SERISI,DIESEL,AUTOMATIC,9618,0,0,0,295000,,0,12
2014,RENAULT,CLIO_IV,DIESEL,MANUAL,70405,3,0,0,39500,55.0,3153,19
2016,NISSAN,MICRA,PETROL,AUTOMATIC,20659,0,1,0,47500,,1886,18
2012,TOYOTA,AURIS,PETROL,AUTOMATIC,44400,1,0,1,50000,,0,9
2013,FIAT,FREEMONT,DIESEL,AUTOMATIC,93475,1,1,0,80000,125.0,0,11
2013,RENAULT,FLUENCE,DIESEL,MANUAL,101489,0,0,0,39200,66.0,5055,11
2012,DACIA,LOGAN,DIESEL,MANUAL,197099,1,0,0,12100,50.0,0,24
2009,HONDA,CIVIC,PETROL,AUTOMATIC,193698,4,0,0,40000,92.0,7817,17
2014,RENAULT,LATITUDE,DIESEL,AUTOMATIC,82074,7,1,0,68600,81.0,11995,22
2013,VOLKSWAGEN,GOLF,DIESEL,MANUAL,114633,4,0,1,52300,66.0,0,11
2013,FIAT,LINEA,DIESEL,MANUAL,120385,0,0,0,32500,70.0,0,17
2013,RENAULT,SYMBOL,DIESEL,MANUAL,148450,3,0,0,31000,55.0,0,12
2009,RENAULT,CLIO,DIESEL,MANUAL,182978,4,2,0,19200,65.0,0,12
2013,FIAT,500L,DIESEL,MANUAL,64346,3,0,1,53900,77.0,0,17
2014,PEUGEOT,508,DIESEL,AUTOMATIC,83278,4,0,0,53400,84.0,6774,11
2014,VOLKSWAGEN,POLO,DIESEL,AUTOMATIC,94054,2,1,1,51600,66.0,0,15
2013,FORD,FOCUS,PETROL,AUTOMATIC,50959,1,4,0,41000,92.0,0,9
2013,FIAT,LINEA,DIESEL,MANUAL,141018,0,0,0,30100,70.0,289,11
2000,OPEL,ASTRA,PETROL,MANUAL,203800,7,2,0,17000,100.0,0,11
2013,FORD,FIESTA,DIESEL,MANUAL,111056,2,3,0,36600,55.0,4590,17
2013,HYUNDAI,ACCENT,DIESEL,MANUAL,194515,1,0,0,38100,94.0,5579,21
2015,RENAULT,MEGANE_IV,DIESEL,AUTOMATIC,32780,0,0,0,62500,81.0,0,16
2004,RENAULT,MEGANE_II,PETROL,MANUAL,123479,4,3,0,22100,98.0,4743,25
2014,RENAULT,SYMBOL,DIESEL,MANUAL,149630,0,0,0,33000,55.0,2196,24
2015,FORD,TRANSIT,DIESEL,MANUAL,72497,4,2,0,48400,70.0,9090,21
2016,SKODA,SUPERB,DIESEL,AUTOMATIC,31683,0,0,0,115300,88.0,0,22
2010,RENAULT,SYMBOL,DIESEL,MANUAL,168378,0,0,0,27200,47.0,0,15
2013,RENAULT,CLIO_III,DIESEL,MANUAL,112003,2,2,1,34000,55.0,5991,12
2014,PEUGEOT,301,DIESEL,MANUAL,80901,1,0,0,39000,68.0,531,17
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,68247,0,0,0,75800,77.0,0,11
2014,RENAULT,SYMBOL,DIESEL,MANUAL,97129,1,1,1,35000,55.0,988,21
2013,RENAULT,CLIO_III,DIESEL,MANUAL,103699,1,2,0,34662,55.0,4412,11
2016,PEUGEOT,301,DIESEL,MANUAL,29007,0,1,0,39000,68.0,0,9
2013,RENAULT,FLUENCE,DIESEL,AUTOMATIC,125350,0,0,0,52100,81.0,0,21
2016,NISSAN,QASHQAI,DIESEL,AUTOMATIC,24930,1,0,0,118500,96.0,0,15
2013,RENAULT,FLUENCE,DIESEL,MANUAL,131642,0,0,0,45000,90.0,0,15
2012,RENAULT,CLIO,DIESEL,MANUAL,195425,2,0,0,30000,55.0,775,12
2013,RENAULT,FLUENCE,DIESEL,MANUAL,191554,4,1,0,35200,66.0,3673,9
2013,FIAT,LINEA,DIESEL,MANUAL,133050,3,0,1,30900,70.0,7621,23
2015,BMW,5_Serisi,DIESEL,AUTOMATIC,42513,0,1,0,266500,160.0,0,17
2014,RENAULT,CLIO_IV,DIESEL,MANUAL,139932,1,0,0,36700,55.0,2894,19
2016,TOYOTA,COROLLA,DIESEL,AUTOMATIC,15922,0,0,0,82000,66.0,0,22
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,33514,1,0,0,76200,100.0,0,15
2014,RENAULT,CLIO_IV,DIESEL,MANUAL,115759,1,1,0,37400,55.0,2256,19
