Yil,Marka,Model,Yakit,Sanziman,Km,Boya,Degisen,Kaput_Tavan,Fiyat,beygir,Tramer,Hafta
2000,FIAT,MAREA,BENZIN,MANUAL,215725,0,0,0,12000,103.0,4388,9
2010,PEUGEOT,206,DIESEL,MANUAL,245682,4,0,0,22500,50.0,4288,9
2012,PEUGEOT,208,BENZIN,MANUAL,75055,3,7,0,21600,60.0,7341,9
2005,FIAT,ALBEA,BENZIN,AUTOMATIC,87590,2,0,0,22700,80.0,0,9
2012,RENAULT,KANGOO,DIESEL,MANUAL,227441,0,1,0,17000,85.0,0,9
2010,PEUGEOT,206+,DIESEL,MANUAL,215386,0,1,1,23300,50.0,672,9
2011,HYUNDAI,GETZ,DIESEL,MANUAL,108762,0,0,0,27400,65.0,0,9
2013,RENAULT,SYMBOL,DIESEL,MANUAL,83556,6,2,0,26600,55.0,0,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,66738,9,0,0,30600,55.0,5627,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,82736,0,2,0,31500,55.0,6891,9
2013,RENAULT,SYMBOL,DIESEL,MANUAL,75869,1,2,0,29500,55.0,3445,9
2013,RENAULT,SYMBOL,DIESEL,MANUAL,104457,1,1,1,29200,55.0,3490,9
2014,RENAULT,FLUENCE,DIESEL,MANUAL,79332,2,2,1,30300,55.0,7501,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,98375,3,3,1,29600,55.0,0,9
2013,RENAULT,CLIO_III,DIESEL,MANUAL,119998,5,2,0,33500,55.0,1377,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,91182,3,0,0,32000,55.0,2239,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,54694,4,2,1,33500,66.0,7814,9
2013,RENAULT,SYMBOL,DIESEL,MANUAL,79359,1,0,0,31500,55.0,0,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,51092,1,5,0,33800,66.0,9933,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,52441,5,0,0,31800,55.0,0,9
2013,FORD,FIESTA,DIESEL,MANUAL,165779,3,3,0,32600,55.0,0,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,95809,2,0,0,32800,55.0,255,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,96221,1,0,1,32100,55.0,1805,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,47552,5,2,0,34000,66.0,3927,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,92403,1,0,1,32700,55.0,973,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,37332,7,1,1,32400,66.0,6577,9
2013,PEUGEOT,301,DIESEL,MANUAL,73979,2,2,0,27700,68.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,182316,4,0,0,34300,66.0,9999,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,100329,0,0,1,33200,55.0,0,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,97202,0,0,0,33000,55.0,0,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,92035,0,0,0,32800,55.0,427,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,191554,4,1,0,35200,66.0,3673,9
2013,DACIA,LODGY,DIESEL,MANUAL,76812,2,1,0,35200,66.0,4856,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,172865,5,2,0,35000,66.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,183850,0,1,0,34700,66.0,10221,9
2013,FIAT,DOBLO,DIESEL,MANUAL,52146,0,0,0,33700,66.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,131219,3,2,0,38000,66.0,14657,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,57311,3,1,1,33700,55.0,4352,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,105056,9,0,0,36700,66.0,7555,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,95510,2,1,0,35300,55.0,0,9
2013,FIAT,DOBLO,DIESEL,MANUAL,41839,0,0,1,33600,66.0,0,9
2013,FIAT,DOBLO,DIESEL,MANUAL,48662,0,0,0,33400,78.39803988995874,0,9
2013,FIAT,DOBLO,DIESEL,MANUAL,46841,0,0,0,33200,78.39803988995874,0,9
2013,FORD,FIESTA,DIESEL,MANUAL,110993,5,1,1,35100,55.0,0,9
2013,RENAULT,CLIO,DIESEL,MANUAL,62059,2,2,0,36000,55.0,6240,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,77379,1,2,0,36000,55.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,51374,5,0,0,35300,66.0,4089,9
2013,DACIA,LODGY,DIESEL,MANUAL,94971,1,1,0,35200,66.0,0,9
2013,DACIA,LODGY,BENZIN,MANUAL,47347,2,1,0,35600,66.0,0,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,111625,0,0,1,35500,55.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,85640,3,0,0,35400,66.0,2156,9
2011,FORD,FOCUS,DIESEL,MANUAL,141020,4,1,0,37600,66.0,1353,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,91411,0,0,0,35800,55.0,1770,9
2013,DACIA,LODGY,DIESEL,MANUAL,90061,2,0,0,35600,66.0,1983,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,181448,0,2,1,35500,66.0,4210,9
2014,RENAULT,SYMBOL,DIESEL,MANUAL,16400,0,0,0,32600,66.0,6484,9
2016,TOYOTA,YARIS,BENZIN,MANUAL,6291,1,2,0,37100,51.0,8506,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,125155,0,2,0,36500,66.0,10029,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,54254,2,0,0,36500,55.0,1535,9
2013,DACIA,LODGY,DIESEL,MANUAL,75402,0,1,0,36200,66.0,3217,9
2013,DACIA,LODGY,DIESEL,MANUAL,102140,1,0,0,35900,66.0,0,9
2013,RENAULT,CLIO,DIESEL,MANUAL,134778,1,0,0,34900,55.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,99810,0,1,0,35600,66.0,1765,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,155406,2,1,0,36800,66.0,5043,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,88403,0,0,0,36500,55.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,103561,1,0,0,36000,66.0,890,9
2013,DACIA,LODGY,DIESEL,MANUAL,82707,1,1,0,35500,66.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,167421,1,2,0,35000,66.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,139985,4,3,0,34500,66.0,0,9
2015,RENAULT,SYMBOL,DIESEL,MANUAL,73445,0,0,0,37000,55.0,261,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,92025,6,2,0,36800,66.0,5545,9
2013,RENAULT,CLIO_III,DIESEL,MANUAL,115293,0,1,0,35400,55.0,1954,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,174640,0,0,0,37900,66.0,1695,9
2013,FORD,FIESTA,DIESEL,MANUAL,126782,1,0,0,37200,55.0,1949,9
2013,DACIA,LODGY,DIESEL,MANUAL,72954,1,0,1,37100,66.0,1310,9
2013,DACIA,LODGY,DIESEL,MANUAL,62258,0,1,0,36500,66.0,0,9
2013,RENAULT,CLIO_III,DIESEL,MANUAL,117905,1,0,0,35800,55.0,1658,9
2013,RENAULT,CLIO_III,DIESEL,MANUAL,95907,0,2,0,35100,55.0,1482,9
2013,DACIA,LODGY,DIESEL,MANUAL,96531,0,0,0,37100,66.0,249,9
2013,RENAULT,CLIO,DIESEL,MANUAL,84420,1,0,0,36900,55.0,2190,9
2013,DACIA,LODGY,DIESEL,MANUAL,87295,0,0,0,36800,66.0,0,9
2013,RENAULT,CLIO_III,DIESEL,MANUAL,138327,0,0,0,36100,55.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,159203,2,0,0,35900,66.0,4259,9
2013,RENAULT,CLIO_III,DIESEL,MANUAL,104697,1,1,0,35700,55.0,971,9
2013,RENAULT,CLIO_III,DIESEL,MANUAL,75284,3,0,0,34700,55.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,213040,3,1,0,34000,66.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,67266,1,0,1,37500,66.0,775,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,168969,1,0,0,36900,66.0,3184,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,161571,3,0,1,36500,66.0,0,9
2013,FORD,FIESTA,DIESEL,MANUAL,90725,3,1,0,36200,55.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,52373,2,0,0,36100,66.0,1475,9
2013,RENAULT,CLIO_III,DIESEL,MANUAL,108215,0,1,0,35800,55.0,0,9
2013,RENAULT,FLUENCE,DIESEL,MANUAL,133197,5,1,0,34500,66.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,70090,0,0,0,38100,66.0,0,9
2013,DACIA,LODGY,DIESEL,MANUAL,77164,0,0,0,37700,66.0,0,9
