Yil,Marka,Model,Yakit,Sanziman,Km,Boya,Degisen,Kaput_Tavan,Fiyat,beygir,Tramer,Hafta
2016,DACIA,LOGAN,DIESEL,MANUAL,36316,0,0,0,448000,55.0,0,23
2014,RENAULT,FLUENCE,DIESEL,MANUAL,168548,0,0,1,466000,66.0,785,23
2013,RENAULT,FLUENCE,DIESEL,AUTOMATIC,143888,3,2,1,445000,81.0,6685,23
2015,RENAULT,CLIO_IV,DIESEL,MANUAL,66137,0,0,0,442000,55.0,0,23
2016,RENAULT,SYMBOL,DIESEL,MANUAL,26545,0,0,0,426000,66.0,1414,23
2011,CITROEN,C4,BENZIN,AUTOMATIC,54947,0,1,0,473000,115.0,1663,23
2015,FORD,FIESTA,DIESEL,MANUAL,59347,3,0,1,457000,55.0,0,23
2014,VOLKSWAGEN,POLO,DIESEL,MANUAL,65452,3,2,1,415000,78.39803988995874,2255,23
2016,FIAT,LINEA,DIESEL,MANUAL,25199,0,0,0,450000,70.0,0,23
2016,FIAT,LINEA,DIESEL,MANUAL,26521,0,0,0,448000,70.0,0,23
2016,FIAT,LINEA,DIESEL,MANUAL,23955,0,0,0,448000,70.0,0,23
2016,FIAT,LINEA,DIESEL,MANUAL,19731,0,0,0,450000,70.0,0,23
2013,RENAULT,FLUENCE,DIESEL,AUTOMATIC,103673,5,0,0,432000,81.0,0,23
2013,FORD,FOCUS,DIESEL,MANUAL,118151,2,6,0,482000,70.0,2990,23
2016,PEUGEOT,301,DIESEL,MANUAL,16462,0,0,0,469000,68.0,0,23
2013,OPEL,ASTRA,DIESEL,MANUAL,157221,2,0,0,474000,70.0,1760,23
2012,VOLKSWAGEN,POLO,DIESEL,AUTOMATIC,156500,0,0,0,466000,66.0,0,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,18999,1,2,0,439000,59.0,5199,23
2014,RENAULT,FLUENCE,DIESEL,MANUAL,129548,3,0,0,469000,66.0,0,23
2014,RENAULT,FLUENCE,DIESEL,MANUAL,131618,1,1,0,457000,66.0,0,23
2014,NISSAN,MICRA,BENZIN,AUTOMATIC,16052,2,0,0,471000,59.0,0,23
2013,OPEL,ASTRA,DIESEL,MANUAL,146502,3,0,1,483000,70.0,0,23
2014,HYUNDAI,ACCENT_BLUE,DIESEL,AUTOMATIC,128629,0,0,0,473000,94.0,2369,23
2012,FIAT,BRAVA,DIESEL,AUTOMATIC,160388,0,0,0,403000,78.39803988995874,0,23
2013,NISSAN,JUKE,DIESEL,MANUAL,59482,2,1,0,473000,81.0,10408,23
2016,RENAULT,CLIO_IV,DIESEL,MANUAL,40251,2,0,0,463000,55.0,1040,23
2013,OPEL,ASTRA,DIESEL,MANUAL,149180,1,0,0,482000,70.0,118,23
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,76904,8,0,0,470000,81.0,7755,23
2015,RENAULT,CLIO,DIESEL,AUTOMATIC,152248,1,1,1,505000,66.0,6047,23
2015,RENAULT,CLIO,DIESEL,AUTOMATIC,152248,1,1,0,505000,66.0,6047,23
2015,RENAULT,FLUENCE,DIESEL,MANUAL,69444,2,1,0,493000,66.0,8714,23
2015,PEUGEOT,208,DIESEL,AUTOMATIC,32359,1,3,0,495000,68.0,500,23
2011,OPEL,ASTRA,BENZIN,AUTOMATIC,101463,4,0,0,492000,85.0,0,23
2015,FORD,TOURNEO,DIESEL,MANUAL,60508,0,2,0,495000,70.0,8822,23
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,72255,5,1,0,485000,81.0,5445,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,6999,0,0,0,490000,59.0,0,23
2014,RENAULT,FLUENCE,DIESEL,MANUAL,73759,1,0,0,525000,66.0,254,23
2014,VOLKSWAGEN,POLO,DIESEL,AUTOMATIC,68758,3,1,1,520000,78.39803988995874,6941,23
2013,FORD,FOCUS,DIESEL,MANUAL,118762,4,0,0,497000,70.0,0,23
2014,RENAULT,FLUENCE,DIESEL,MANUAL,70926,0,0,0,531000,66.0,620,23
2015,FORD,TOURNEO,DIESEL,MANUAL,39777,4,1,0,509000,70.0,5344,23
2015,FORD,TOURNEO,DIESEL,MANUAL,77828,2,1,2,504000,70.0,3614,23
2015,RENAULT,FLUENCE,DIESEL,MANUAL,114263,0,0,0,502000,66.0,0,23
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,65522,4,0,0,500000,81.0,7478,23
2016,RENAULT,CLIO,DIESEL,MANUAL,41846,0,1,0,501000,55.0,0,23
2013,FORD,FOCUS,DIESEL,MANUAL,112201,1,0,0,520000,70.0,0,23
2015,RENAULT,FLUENCE,DIESEL,MANUAL,72273,1,1,1,501000,66.0,2821,23
2015,FORD,TOURNEO,DIESEL,MANUAL,77004,0,1,0,516000,70.0,3996,23
2015,FORD,TOURNEO,DIESEL,MANUAL,56956,0,2,0,507000,70.0,4002,23
2014,RENAULT,MEGANE_III,DIESEL,AUTOMATIC,79083,0,0,0,521000,81.0,2318,23
2015,FORD,TOURNEO,DIESEL,MANUAL,93887,0,0,0,518000,70.0,2866,23
